01 01 2017, 6.10, 8.20
02 01 2017, 0.00, 5.21
03 01 2017, 0.00, 4.67
04 01 2017, 0.00, 5.68
05 01 2017, 0.00, 18.07
06 01 2017, 14.42, 23.05
07 01 2017, 4.08, 16.56
08 01 2017, 0.77, 21.86
09 01 2017, 6.85, 12.20
10 01 2017, 0.00, 25.26
11 01 2017, 0.00, 11.10
12 01 2017, 50.95, 8.31
13 01 2017, 1.38, 9.49
14 01 2017, 28.71, 12.00
15 01 2017, 0.32, 15.64
16 01 2017, 0.00, 13.28
17 01 2017, 0.00, 11.53
18 01 2017, 20.79, 13.80
19 01 2017, 0.00, 10.78
20 01 2017, 0.00, 7.44
21 01 2017, 1.57, 7.49
22 01 2017, 0.00, 13.37
23 01 2017, 3.58, 8.38
24 01 2017, 47.87, 16.61
25 01 2017, 0.00, 26.20
26 01 2017, 0.33, 21.32
27 01 2017, 5.75, 9.43
28 01 2017, 10.15, 9.04
29 01 2017, 0.00, 20.34
30 01 2017, 8.40, 21.25
31 01 2017, 0.05, 10.61
01 02 2017, 36.19, 23.28
02 02 2017, 6.86, 17.83
03 02 2017, 45.17, 8.87
04 02 2017, 0.00, 9.08
05 02 2017, 0.00, 9.19
06 02 2017, 98.93, 19.94
07 02 2017, 56.81, 10.29
08 02 2017, 22.85, 12.41
09 02 2017, 0.00, 12.84
10 02 2017, 0.00, 5.85
11 02 2017, 0.00, 6.14
12 02 2017, 0.00, 8.96
13 02 2017, 0.00, 19.69
14 02 2017, 0.67, 10.40
15 02 2017, 43.62, 14.33
16 02 2017, 4.65, 18.34
17 02 2017, 2.52, 22.86
18 02 2017, 24.71, 12.66
19 02 2017, 0.00, 26.50
20 02 2017, 0.00, 22.81
21 02 2017, 6.78, 18.23
22 02 2017, 0.00, 23.35
23 02 2017, 0.00, 11.69
24 02 2017, 0.43, 20.11
25 02 2017, 0.00, 19.85
26 02 2017, 0.00, 12.62
27 02 2017, 0.00, 8.13
28 02 2017, 0.00, 7.48
01 03 2017, 0.00, 13.38
02 03 2017, 18.78, 15.52
03 03 2017, 0.00, 14.36
04 03 2017, 25.79, 9.91
05 03 2017, 0.50, 11.52
06 03 2017, 0.00, 12.71
07 03 2017, 0.00, 22.82
08 03 2017, 4.02, 17.38
09 03 2017, 0.00, 17.26
10 03 2017, 0.00, 17.69
11 03 2017, 5.85, 10.17
12 03 2017, 0.00, 7.49
13 03 2017, 0.00, 17.13
14 03 2017, 0.00, 17.61
15 03 2017, 3.38, 14.07
16 03 2017, 21.05, 15.33
17 03 2017, 0.00, 25.34
18 03 2017, 0.00, 21.88
19 03 2017, 0.22, 17.86
20 03 2017, 0.00, 9.05
21 03 2017, 0.00, 8.14
22 03 2017, 0.00, 5.55
23 03 2017, 0.00, 8.86
24 03 2017, 0.00, 6.74
25 03 2017, 0.00, 8.24
26 03 2017, 0.00, 12.10
27 03 2017, 0.00, 14.64
28 03 2017, 40.72, 16.16
29 03 2017, 33.04, 19.82
30 03 2017, 0.00, 17.08
31 03 2017, 3.38, 10.87
01 04 2017, 0.00, 9.25
02 04 2017, 0.00, 20.65
03 04 2017, 28.40, 18.59
04 04 2017, 0.14, 7.58
05 04 2017, 11.11, 8.70
06 04 2017, 0.00, 6.58
07 04 2017, 0.00, 8.75
08 04 2017, 0.00, 9.16
09 04 2017, 0.00, 15.73
10 04 2017, 3.57, 13.63
11 04 2017, 1.36, 16.16
12 04 2017, 0.00, 13.47
13 04 2017, 5.14, 16.79
14 04 2017, 0.00, 23.15
15 04 2017, 26.27, 11.06
16 04 2017, 2.04, 15.09
17 04 2017, 0.00, 15.18
18 04 2017, 0.00, 15.99
19 04 2017, 1.81, 15.71
20 04 2017, 0.00, 14.54
21 04 2017, 0.00, 11.17
22 04 2017, 0.00, 12.43
23 04 2017, 0.00, 12.47
24 04 2017, 4.58, 14.11
25 04 2017, 0.33, 8.31
26 04 2017, 0.00, 10.56
27 04 2017, 0.00, 11.88
28 04 2017, 43.47, 10.18
29 04 2017, 11.39, 12.43
30 04 2017, 0.00, 7.70
01 05 2017, 0.00, 8.46
02 05 2017, 3.67, 24.57
03 05 2017, 22.90, 12.79
04 05 2017, 0.00, 12.41
05 05 2017, 0.00, 12.02
06 05 2017, 0.00, 13.86
07 05 2017, 0.00, 13.33
08 05 2017, 0.00, 14.15
09 05 2017, 0.00, 10.43
10 05 2017, 0.00, 9.95
11 05 2017, 0.00, 9.86
12 05 2017, 0.00, 15.13
13 05 2017, 0.34, 18.85
14 05 2017, 69.27, 12.98
15 05 2017, 0.00, 33.05
16 05 2017, 58.32, 11.38
17 05 2017, 74.93, 13.34
18 05 2017, 0.00, 11.66
19 05 2017, 3.55, 16.32
20 05 2017, 94.23, 14.69
21 05 2017, 20.59, 17.94
22 05 2017, 19.02, 16.50
23 05 2017, 0.00, 27.92
24 05 2017, 0.03, 20.74
25 05 2017, 0.00, 21.91
26 05 2017, 0.00, 28.42
27 05 2017, 0.00, 10.96
28 05 2017, 0.00, 16.06
29 05 2017, 0.00, 23.41
30 05 2017, 0.00, 13.98
31 05 2017, 0.00, 18.50
01 06 2017, 7.11, 28.65
02 06 2017, 23.66, 13.57
03 06 2017, 57.49, 14.60
04 06 2017, 1.45, 14.94
05 06 2017, 0.50, 21.90
06 06 2017, 52.86, 13.59
07 06 2017, 0.00, 26.17
08 06 2017, 179.77, 17.31
09 06 2017, 27.97, 20.33
10 06 2017, 38.10, 19.41
11 06 2017, 23.88, 17.61
12 06 2017, 0.00, 24.27
13 06 2017, 0.00, 22.30
14 06 2017, 0.00, 23.71
15 06 2017, 0.00, 29.08
16 06 2017, 0.00, 26.27
17 06 2017, 0.00, 19.87
18 06 2017, 0.00, 24.05
19 06 2017, 0.00, 28.06
20 06 2017, 424.01, 29.00
21 06 2017, 0.00, 24.53
22 06 2017, 0.00, 16.55
23 06 2017, 0.00, 30.00
24 06 2017, 16.13, 23.09
25 06 2017, 0.00, 27.83
26 06 2017, 0.00, 29.60
27 06 2017, 0.00, 14.84
28 06 2017, 2.22, 19.01
29 06 2017, 7.56, 21.61
30 06 2017, 28.47, 13.63
01 07 2017, 0.00, 33.74
02 07 2017, 0.00, 21.17
03 07 2017, 0.00, 33.26
04 07 2017, 0.00, 31.68
05 07 2017, 0.00, 26.82
06 07 2017, 0.01, 29.15
07 07 2017, 0.00, 27.42
08 07 2017, 0.00, 21.69
09 07 2017, 0.00, 25.98
10 07 2017, 44.43, 23.93
11 07 2017, 0.00, 27.59
12 07 2017, 7.34, 13.91
13 07 2017, 1.77, 17.09
14 07 2017, 2.31, 21.41
15 07 2017, 0.00, 31.15
16 07 2017, 0.00, 14.42
17 07 2017, 0.00, 12.96
18 07 2017, 0.00, 27.92
19 07 2017, 0.37, 29.20
20 07 2017, 92.06, 18.45
21 07 2017, 22.28, 23.42
22 07 2017, 1.96, 16.39
23 07 2017, 25.54, 20.93
24 07 2017, 0.00, 22.92
25 07 2017, 0.00, 34.09
26 07 2017, 2.35, 15.52
27 07 2017, 188.19, 18.26
28 07 2017, 7.54, 20.04
29 07 2017, 27.84, 20.59
30 07 2017, 53.63, 20.64
31 07 2017, 93.82, 19.91
01 08 2017, 45.45, 19.01
02 08 2017, 21.00, 18.62
03 08 2017, 2.46, 18.47
04 08 2017, 55.99, 17.23
05 08 2017, 80.39, 16.71
06 08 2017, 25.67, 27.12
07 08 2017, 27.33, 16.39
08 08 2017, 174.10, 21.62
09 08 2017, 15.21, 12.84
10 08 2017, 6.34, 18.60
11 08 2017, 0.78, 31.30
12 08 2017, 37.10, 16.95
13 08 2017, 5.33, 26.06
14 08 2017, 0.00, 18.29
15 08 2017, 7.69, 15.67
16 08 2017, 45.55, 23.53
17 08 2017, 38.50, 19.67
18 08 2017, 67.75, 21.08
19 08 2017, 19.32, 14.52
20 08 2017, 0.00, 37.09
21 08 2017, 0.00, 31.51
22 08 2017, 0.00, 23.18
23 08 2017, 157.46, 22.87
24 08 2017, 19.69, 27.43
25 08 2017, 3.39, 25.51
26 08 2017, 4.73, 27.04
27 08 2017, 36.68, 27.14
28 08 2017, 0.00, 40.64
29 08 2017, 36.80, 18.45
30 08 2017, 40.95, 17.13
31 08 2017, 65.54, 17.30
01 09 2017, 4.15, 14.39
02 09 2017, 0.00, 40.59
03 09 2017, 0.00, 31.14
04 09 2017, 0.00, 26.22
05 09 2017, 11.31, 16.69
06 09 2017, 8.41, 21.74
07 09 2017, 0.19, 29.24
08 09 2017, 0.00, 20.23
09 09 2017, 14.42, 17.12
10 09 2017, 67.15, 15.57
11 09 2017, 10.34, 20.41
12 09 2017, 0.00, 28.70
13 09 2017, 31.61, 18.31
14 09 2017, 0.13, 15.07
15 09 2017, 40.36, 13.49
16 09 2017, 27.36, 20.63
17 09 2017, 0.00, 12.28
18 09 2017, 0.00, 10.59
19 09 2017, 0.00, 34.83
20 09 2017, 0.09, 29.81
21 09 2017, 261.69, 15.59
22 09 2017, 0.00, 11.35
23 09 2017, 0.00, 36.74
24 09 2017, 6.84, 18.11
25 09 2017, 0.01, 20.21
26 09 2017, 0.03, 28.67
27 09 2017, 0.00, 27.56
28 09 2017, 41.51, 28.45
29 09 2017, 2.21, 13.60
30 09 2017, 0.00, 19.62
01 10 2017, 10.91, 23.71
02 10 2017, 38.61, 22.38
04 10 2017, 0.39, 27.85
05 10 2017, 6.86, 13.20
06 10 2017, 0.00, 22.72
07 10 2017, 0.00, 27.45
08 10 2017, 3.94, 20.15
09 10 2017, 0.00, 27.13
10 10 2017, 4.96, 18.60
11 10 2017, 52.67, 13.76
12 10 2017, 0.00, 25.93
13 10 2017, 2.99, 39.24
14 10 2017, 17.56, 22.81
15 10 2017, 0.00, 28.31
16 10 2017, 0.00, 30.60
17 10 2017, 3.97, 11.81
18 10 2017, 0.00, 22.74
19 10 2017, 48.59, 21.25
20 10 2017, 1.84, 32.47
21 10 2017, 16.22, 20.15
22 10 2017, 22.41, 18.12
23 10 2017, 30.50, 22.73
24 10 2017, 0.00, 28.76
25 10 2017, 0.00, 12.37
26 10 2017, 0.77, 22.58
27 10 2017, 0.00, 25.73
28 10 2017, 0.00, 19.41
29 10 2017, 0.00, 17.28
30 10 2017, 0.00, 27.85
31 10 2017, 3.40, 21.86
01 11 2017, 0.00, 15.92
02 11 2017, 0.00, 14.20
03 11 2017, 0.00, 16.26
04 11 2017, 38.95, 11.63
05 11 2017, 26.51, 14.45
06 11 2017, 4.07, 24.36
07 11 2017, 94.63, 12.84
08 11 2017, 6.40, 25.33
09 11 2017, 15.40, 24.30
10 11 2017, 0.00, 24.85
11 11 2017, 24.01, 17.34
12 11 2017, 0.00, 7.91
13 11 2017, 1.72, 14.26
14 11 2017, 34.42, 16.34
15 11 2017, 27.91, 17.06
16 11 2017, 0.00, 6.71
17 11 2017, 0.00, 19.50
18 11 2017, 89.90, 20.62
19 11 2017, 19.59, 16.15
20 11 2017, 87.64, 28.57
21 11 2017, 0.00, 24.50
22 11 2017, 0.00, 19.14
23 11 2017, 52.88, 10.15
24 11 2017, 0.00, 12.06
25 11 2017, 0.00, 6.72
26 11 2017, 0.27, 15.70
27 11 2017, 1.86, 14.92
28 11 2017, 0.00, 9.16
29 11 2017, 6.74, 10.98
30 11 2017, 3.46, 11.76
01 12 2017, 0.00, 10.70
02 12 2017, 0.00, 11.04
03 12 2017, 0.00, 10.43
04 12 2017, 4.19, 10.56
05 12 2017, 5.75, 10.46
06 12 2017, 0.02, 12.60
07 12 2017, 0.00, 5.60
08 12 2017, 0.00, 5.96
09 12 2017, 0.00, 17.39
10 12 2017, 6.08, 14.65
11 12 2017, 0.00, 9.62
12 12 2017, 0.00, 15.46
13 12 2017, 1.54, 8.81
14 12 2017, 22.02, 11.58
15 12 2017, 0.06, 9.59
16 12 2017, 8.99, 11.87
17 12 2017, 0.00, 20.61
18 12 2017, 0.00, 20.37
19 12 2017, 0.00, 17.04
20 12 2017, 0.00, 30.21
21 12 2017, 60.06, 17.90
22 12 2017, 0.00, 13.90
23 12 2017, 0.00, 14.38
24 12 2017, 0.00, 22.07
25 12 2017, 12.60, 12.32
26 12 2017, 0.00, 13.92
27 12 2017, 103.20, 11.11
28 12 2017, 0.00, 12.10
29 12 2017, 0.00, 6.58
30 12 2017, 0.00, 12.42
31 12 2017, 0.00, 11.47
